location,job,comp,salary,anual_salary,city
"Houston, TX",Research Financial Analyst II,Baylor College of Medicine,"$65,000 a year",65000,Houston
"Houston, TX",Sr. Bioinformatics Programmer,Baylor College of Medicine,"$70,000 - $91,000 a year",80500,Houston
"Tempe, AZ",Data Analysis Specialist,Arizona State University,"$47,476 - $60,000 a year",53738,Tempe
"Phoenix, AZ 85003 (Central City area)",Research Analyst,"Maricopa County, AZ","$44,616 - $82,618 a year",63617,Phoenix
"Phoenix, AZ",RESEARCH AND STATISTICAL ANALYST,Arizona Health Care Cost Containment System,"$39,983 - $55,500 a year",47741.5,Phoenix
"Phoenix, AZ",DATA ANALYSIS AND RESEARCH MANAGER,Arizona Health Care Cost Containment System,"$65,000 - $72,000 a year",68500,Phoenix
"Phoenix, AZ",Data Statistical Specialist (Job 2105),Arizona Supreme Court,"$56,677 a year",56677,Phoenix
"Phoenix, AZ",Institutional Research Analyst (Specially Funded/Open Until Filled),Maricopa County Community College District,"$50,958 - $60,512 a year",55735,Phoenix
"Phoenix, AZ 85012 (Alhambra area)","WILDLIFE SPECIALIST 3 - CORNVILLE, AZ BASED",State of Arizona,"$39,983 - $58,000 a year",48991.5,Phoenix
"Scottsdale, AZ",Web Security Research Analyst,SiteLock,"$50,000 - $55,000 a year",52500,Scottsdale
"Tempe, AZ",Project Coordinator Research,Arizona State University,$21.12 - $30.29 an hour,,Tempe
"Tempe, AZ","Program Manager, CAP LTER",Arizona State University,"$47,476 - $52,000 a year",49738,Tempe
"Phoenix, AZ 85012 (Alhambra area)",Senior Epidemiologist,State of Arizona,"$60,000 a year",60000,Phoenix
"Phoenix, AZ",Data Services Engineer,Career Evolutions,"$150,000 a year",150000,Phoenix
"Chicago, IL",Economist/Statistician (Economics),U.S. Department of Labor,"$43,915 - $69,827 a year",56871,Chicago
"Chicago, IL",Data Scientist,Workbridge Associates,"$100,000 - $120,000 a year",110000,Chicago
"Chicago, IL",Senior Quantitative Risk Analyst,Selby Jennings,$120 a day,28800,Chicago
"Chicago, IL",Machine Learning Engineer,Jobspring Partners,"$100,000 - $120,000 a year",110000,Chicago
"Chicago, IL","Senior Data Scientist (H20, Python, and R)",Workbridge Associates,"$110,000 - $155,000 a year",132500,Chicago
"Chicago, IL",Statistical Analyst -- Health-7444 - 7444,S.C. International,"$80,000 a year",80000,Chicago
"Chicago, IL",Quantitative Research Analyst,GinasTechJobs.com,"$180,000 a year",180000,Chicago
"Chicago, IL",Associate Quantitative Research Analyst,GinasTechJobs.com,"$180,000 a year",180000,Chicago
"Des Plaines, IL",Senior Data Scientist,Workbridge Associates,"$130,000 - $180,000 a year",155000,Des Plaines
"Chicago, IL",Supervising Environmental Soil Scientist,Metropolitan Water Reclamation District of Greater...,"$104,674 - $151,358 a year",128016,Chicago
"Chicago, IL 60601 (Loop area)",Research Analyst,The LaSalle Network,"$90,000 a year",90000,Chicago
"Chicago, IL",Statistical Research Scientist,Smith Hanley Associates,"$75,000 - $90,000 a year",82500,Chicago
"Chicago, IL",Quantitative Risk Analyst,Huxley Banking & Financial Services,"$110,000 a year",110000,Chicago
"Chicago, IL 60601 (Loop area)",Statistical Analyst (part-time or full-time contract),Mission Measurement,$20 an hour,38400,Chicago
"Evanston, IL",Statistical Analyst,Smith Hanley Associates,"$60,000 - $75,000 a year",67500,Evanston
"Chicago, IL 60603 (Loop area)",Lead Data Scientist,Workbridge Associates,$90 an hour,172800,Chicago
"Chicago, IL",Lead Data Scientist,Analytic Recruiting,"$140,000 a year",140000,Chicago
"Chicago, IL",Market Research Analyst - (Quantitative Research Focus),Creative Circle,"$70,000 a year",70000,Chicago
"Chicago, IL",Director of Data Science,Workbridge Associates,"$200,000 a year",200000,Chicago
"Chicago, IL",Manager / Director of Predictive Modeling,Analytic Recruiting,"$100,000 - $130,000 a year",115000,Chicago
"San Francisco, CA",Sr. Machine Learning Data Scientist,All-In Analytics,"$120,000 - $150,000 a year",135000,San Francisco
"Oakland, CA",Data scientist,Even,"$34,142 a year",34142,Oakland
"San Francisco, CA",Principal Data Scientist (Recommendation),Workbridge Associates,"$120,000 - $160,000 a year",140000,San Francisco
"San Francisco, CA 94124 (Bayview area)",Manager I - Chief Microbiologist (Chief Microbiologist),City & County of San Francisco,"$98,202 - $125,346 a year",111774,San Francisco
"San Francisco, CA",Senior Data Scientist,Workbridge Associates,"$140,000 - $180,000 a year",160000,San Francisco
"San Francisco, CA","Staff Engineer, Machine Learning",Workbridge Associates,"$165,000 - $195,000 a year",180000,San Francisco
"San Francisco, CA",Lead Data Scientist (Life Sciences),Workbridge Associates,"$150,000 - $180,000 a year",165000,San Francisco
"San Francisco, CA",Infrastructure Engineer for Successful Machine Learning Startup,Workbridge Associates,"$120,000 - $160,000 a year",140000,San Francisco
